# World Bank, indicator SP.POP.GROW (population growth, annual %), 1970-2023, 24 countries.
# Source: World Bank Open Data (https://data.worldbank.org), retrieved 2026-09-18, CC BY 4.0.
# Country names are shortened and comma-free on purpose: the inline CSV parser splits on ','.
country,year,growth
France,1981,0.5938
France,1982,0.3652
France,1983,0.5389
France,1984,0.4885
France,1985,0.4998
France,1986,0.5111
France,1987,0.5431
France,1988,0.5781
France,1989,0.5970
France,1990,0.5472
France,1991,0.5020
France,1992,0.4980
France,1993,0.4349
France,1994,0.3745
France,1995,0.3642
France,1996,0.3574
France,1997,0.3568
France,1998,0.3705
France,1999,0.5159
France,2000,0.6863
France,2001,0.7290
France,2002,0.7270
France,2003,0.7056
France,2004,0.7326
France,2005,0.7519
France,2006,0.6963
France,2007,0.6182
France,2008,0.5580
France,2009,0.5134
France,2010,0.4930
France,2011,0.4827
France,2012,0.4837
France,2013,0.5169
France,2014,0.4748
France,2015,0.3556
France,2016,0.2639
France,2017,0.2902
France,2018,0.3585
France,2019,0.3326
France,2020,0.3246
France,2021,0.3569
France,2022,0.5023
France,2023,0.2751
Germany,1970,0.3327
Germany,1971,0.1835
Germany,1972,0.4785
Germany,1973,0.3149
Germany,1974,0.0390
Germany,1975,-0.3728
Germany,1976,-0.4288
Germany,1977,-0.2264
Germany,1978,-0.0870
Germany,1979,0.0442
Germany,1980,0.2074
Germany,1981,0.1523
Germany,1982,-0.0951
Germany,1983,-0.2622
Germany,1984,-0.3457
Germany,1985,-0.2235
Germany,1986,0.0458
Germany,1987,0.1536
Germany,1988,0.3907
Germany,1989,0.7733
Germany,1990,0.8620
Germany,1991,0.7286
Germany,1992,0.7603
Germany,1993,0.6574
Germany,1994,0.3469
Germany,1995,0.2939
Germany,1996,0.2895
Germany,1997,0.1463
Germany,1998,0.0151
Germany,1999,0.0646
Germany,2000,0.1354
Germany,2001,0.1682
Germany,2002,0.1681
Germany,2003,0.0554
Germany,2004,-0.0217
Germany,2005,-0.0568
Germany,2006,-0.1128
Germany,2007,-0.1337
Germany,2008,-0.1901
Germany,2009,-0.2534
Germany,2010,-0.1532
Germany,2011,-1.8537
Germany,2012,0.1877
Germany,2013,0.2729
Germany,2014,0.4169
Germany,2015,0.8657
Germany,2016,0.8072
Germany,2017,0.3737
Germany,2018,0.3005
Germany,2019,0.2255
Germany,2020,0.0817
Germany,2021,0.0423
Germany,2022,-0.0220
Germany,2023,0.1315
India,1970,2.2198
India,1971,2.2161
India,1972,2.1950
India,1973,2.2504
India,1974,2.3001
India,1975,2.3617
India,1976,2.3526
India,1977,2.3589
India,1978,2.3027
India,1979,2.3255
India,1980,2.3848
India,1981,2.3497
India,1982,2.3340
India,1983,2.3407
India,1984,2.3459
India,1985,2.3271
India,1986,2.3083
India,1987,2.2808
India,1988,2.2505
India,1989,2.2347
India,1990,2.2131
India,1991,2.1678
India,1992,2.1300
India,1993,2.0999
India,1994,2.0444
India,1995,2.0130
India,1996,1.9978
India,1997,1.9664
India,1998,1.9360
India,1999,1.9020
India,2000,1.8794
India,2001,1.8706
India,2002,1.8113
India,2003,1.7344
India,2004,1.7036
India,2005,1.6314
India,2006,1.5641
India,2007,1.5060
India,2008,1.4388
India,2009,1.4460
India,2010,1.4546
India,2011,1.4168
India,2012,1.3741
India,2013,1.3327
India,2014,1.2613
India,2015,1.1929
India,2016,1.1916
India,2017,1.1624
India,2018,1.0973
India,2019,1.0400
India,2020,0.9734
India,2021,0.8226
India,2022,0.7902
India,2023,0.8833
Indonesia,1970,2.7523
Indonesia,1971,2.7092
Indonesia,1972,2.6623
Indonesia,1973,2.6272
Indonesia,1974,2.5738
Indonesia,1975,2.5261
Indonesia,1976,2.4942
Indonesia,1977,2.4552
Indonesia,1978,2.4385
Indonesia,1979,2.4231
Indonesia,1980,2.3886
Indonesia,1981,2.3452
Indonesia,1982,2.3124
Indonesia,1983,2.2802
Indonesia,1984,2.2297
Indonesia,1985,2.1363
Indonesia,1986,2.0175
Indonesia,1987,1.9414
Indonesia,1988,1.9089
Indonesia,1989,1.8746
Indonesia,1990,1.8144
Indonesia,1991,1.7701
Indonesia,1992,1.7332
Indonesia,1993,1.7016
Indonesia,1994,1.6860
Indonesia,1995,1.6628
Indonesia,1996,1.6455
Indonesia,1997,1.6263
Indonesia,1998,1.5807
Indonesia,1999,1.5032
Indonesia,2000,1.4324
Indonesia,2001,1.3880
Indonesia,2002,1.3557
Indonesia,2003,1.3238
Indonesia,2004,1.2710
Indonesia,2005,1.2838
Indonesia,2006,1.3253
Indonesia,2007,1.3209
Indonesia,2008,1.2974
Indonesia,2009,1.2670
Indonesia,2010,1.2605
Indonesia,2011,1.2767
Indonesia,2012,1.2858
Indonesia,2013,1.2404
Indonesia,2014,1.1754
Indonesia,2015,1.1223
Indonesia,2016,1.0745
Indonesia,2017,1.0223
Indonesia,2018,0.9697
Indonesia,2019,0.9356
Indonesia,2020,0.8498
Indonesia,2021,0.7046
Indonesia,2022,0.7461
Indonesia,2023,0.8427
Iran,1970,3.0362
Iran,1971,2.9879
Iran,1972,2.9275
Iran,1973,2.9277
Iran,1974,2.9602
Iran,1975,3.0228
Iran,1976,3.0139
Iran,1977,3.0973
Iran,1978,3.2671
Iran,1979,3.4375
Iran,1980,3.6223
Iran,1981,5.2485
Iran,1982,5.2940
Iran,1983,3.8928
Iran,1984,3.7617
Iran,1985,3.6734
Iran,1986,3.6900
Iran,1987,3.5843
Iran,1988,3.2277
Iran,1989,2.9207
Iran,1990,2.9114
Iran,1991,2.7152
Iran,1992,1.9775
Iran,1993,0.3566
Iran,1994,0.1905
Iran,1995,1.1072
Iran,1996,1.0804
Iran,1997,1.1988
Iran,1998,1.3737
Iran,1999,1.4243
Iran,2000,1.4762
Iran,2001,1.5438
Iran,2002,0.8258
Iran,2003,1.1084
Iran,2004,2.1392
Iran,2005,2.2130
Iran,2006,2.1544
Iran,2007,1.6351
Iran,2008,1.2145
Iran,2009,1.2419
Iran,2010,1.2517
Iran,2011,1.2359
Iran,2012,1.2513
Iran,2013,1.3069
Iran,2014,1.3431
Iran,2015,1.3616
Iran,2016,1.4335
Iran,2017,1.4387
Iran,2018,1.2752
Iran,2019,1.0783
Iran,2020,0.7688
Iran,2021,0.8310
Iran,2022,1.2010
Iran,2023,1.2041
Italy,1970,0.5289
Italy,1971,0.4665
Italy,1972,0.5677
Italy,1973,0.6782
Italy,1974,0.6544
Italy,1975,0.5972
Italy,1976,0.4989
Italy,1977,0.4247
Italy,1978,0.3563
Italy,1979,0.2891
Italy,1980,0.2060
Italy,1981,0.1201
Italy,1982,0.0741
Italy,1983,0.0363
Italy,1984,0.0224
Italy,1985,0.0289
Italy,1986,0.0054
Italy,1987,0.0102
Italy,1988,0.0483
Italy,1989,0.0750
Italy,1990,0.0837
Italy,1991,0.0692
Italy,1992,0.0679
Italy,1993,0.0611
Italy,1994,0.0204
Italy,1995,0.0016
Italy,1996,0.0281
Italy,1997,0.0529
Italy,1998,0.0288
Italy,1999,0.0168
Italy,2000,0.0453
Italy,2001,0.0612
Italy,2002,0.1979
Italy,2003,0.5404
Italy,2004,0.7446
Italy,2005,0.5837
Italy,2006,0.4001
Italy,2007,0.6084
Italy,2008,0.7713
Italy,2009,0.5797
Italy,2010,0.4422
Italy,2011,0.3462
Italy,2012,0.2735
Italy,2013,0.1998
Italy,2014,0.0151
Italy,2015,-0.1511
Italy,2016,-0.1901
Italy,2017,-0.1881
Italy,2018,-0.2086
Italy,2019,-0.2477
Italy,2020,-0.4871
Italy,2021,-0.5156
Italy,2022,-0.2023
Italy,2023,-0.0499
Japan,1970,1.1516
Japan,1971,2.1943
Japan,1972,1.4008
Japan,1973,1.4072
Japan,1974,1.3296
Japan,1975,1.2727
Japan,1976,1.0716
Japan,1977,0.9680
Japan,1978,0.9100
Japan,1979,0.8466
Japan,1980,0.7882
Japan,1981,0.7285
Japan,1982,0.6937
Japan,1983,0.6956
Japan,1984,0.6483
Japan,1985,0.6259
Japan,1986,0.5324
Japan,1987,0.4820
Japan,1988,0.4161
Japan,1989,0.3998
Japan,1990,0.3318
Japan,1991,0.3928
Japan,1992,0.3712
Japan,1993,0.3242
Japan,1994,0.2792
Japan,1995,0.2346
Japan,1996,0.2269
Japan,1997,0.2383
Japan,1998,0.2717
Japan,1999,0.1826
Japan,2000,0.1673
Japan,2001,0.2410
Japan,2002,0.2325
Japan,2003,0.2140
Japan,2004,0.0337
Japan,2005,0.0094
Japan,2006,0.0634
Japan,2007,0.1149
Japan,2008,0.0484
Japan,2009,-0.0125
Japan,2010,0.0180
Japan,2011,-0.1852
Japan,2012,-0.1597
Japan,2013,-0.1443
Japan,2014,-0.1327
Japan,2015,-0.1061
Japan,2016,-0.0511
Japan,2017,-0.0819
Japan,2018,-0.1269
Japan,2019,-0.1405
Japan,2020,-0.2942
Japan,2021,-0.4600
Japan,2022,-0.4439
Japan,2023,-0.4874
Mexico,1970,3.1623
Mexico,1971,3.0956
Mexico,1972,3.0396
Mexico,1973,2.9850
Mexico,1974,2.9260
Mexico,1975,2.8587
Mexico,1976,2.7807
Mexico,1977,2.7052
Mexico,1978,2.6458
